gruppe,datum,coherence_C,window_n
andere,2025-12-16,0.9602144853191197,30
andere,2025-12-16,0.9624086199893772,30
andere,2025-12-16,0.9617395732522761,30
andere,2025-12-16,0.9618776878903736,30
andere,2025-12-16,0.961669355659994,30
andere,2025-12-16,0.9620710793896567,30
andere,2025-12-16,0.9614856284066946,30
andere,2025-12-16,0.961429466586652,30
andere,2025-12-16,0.9601996690967481,30
andere,2025-12-16,0.96044919350983,30
andere,2025-12-16,0.9626873939235032,30
andere,2025-12-16,0.9684933725688537,30
andere,2025-12-16,0.96802351564644,30
andere,2025-12-16,0.9676705786244063,30
andere,2025-12-16,0.9666054821508581,30
andere,2025-12-16,0.9654079335079327,30
andere,2025-12-16,0.9650919962082134,30
andere,2025-12-16,0.9666772095509879,30
andere,2025-12-16,0.9677928605271912,30
andere,2025-12-16,0.9677440556754938,30
andere,2025-12-16,0.9681184556426912,30
andere,2025-12-16,0.9629804885534341,30
andere,2025-12-17,0.9629511865258008,30
andere,2025-12-17,0.9631764806604602,30
andere,2025-12-17,0.9611586767147545,30
andere,2025-12-17,0.9606931499562495,30
andere,2025-12-17,0.9614982297367968,30
andere,2025-12-17,0.961641819010287,30
andere,2025-12-17,0.9463105255032783,30
andere,2025-12-17,0.9466833747109,30
andere,2025-12-17,0.9477031674510322,30
andere,2025-12-17,0.94788195090254,30
andere,2025-12-17,0.9479014930586015,30
andere,2025-12-17,0.9483202207688101,30
andere,2025-12-17,0.9400211123952288,30
andere,2025-12-17,0.9395943088128498,30
andere,2025-12-17,0.9401737812417145,30
andere,2025-12-17,0.9393809043564707,30
andere,2025-12-17,0.9410231951978584,30
andere,2025-12-17,0.9410072264058928,30
andere,2025-12-17,0.9404902511445281,30
andere,2025-12-17,0.9271329230129737,30
andere,2025-12-17,0.926603255435521,30
andere,2025-12-17,0.9273452177859878,30
andere,2025-12-17,0.9275087952973149,30
andere,2025-12-17,0.9288969401338204,30
andere,2025-12-17,0.9293344291807156,30
andere,2025-12-17,0.9309140628827118,30
andere,2025-12-17,0.9311930860155622,30
andere,2025-12-17,0.930926647931474,30
andere,2025-12-17,0.9305730905907492,30
andere,2025-12-17,0.9349517868254946,30
andere,2025-12-17,0.927836992593081,30
andere,2025-12-17,0.9283248747831717,30
andere,2025-12-17,0.9287420082958947,30
andere,2025-12-17,0.9295720353644675,30
andere,2025-12-17,0.9243214318438894,30
andere,2025-12-17,0.9246923193043286,30
andere,2025-12-17,0.9456237453711456,30
andere,2025-12-18,0.9452228176330659,30
andere,2025-12-18,0.9450453872629574,30
andere,2025-12-18,0.9454687797566838,30
andere,2025-12-18,0.9459659269849658,30
andere,2025-12-18,0.9461649742588774,30
andere,2025-12-18,0.9507502408442184,30
andere,2025-12-18,0.9506923643127538,30
andere,2025-12-18,0.9510901592094202,30
andere,2025-12-18,0.9525508073838889,30
andere,2025-12-18,0.9507651771055483,30
andere,2025-12-18,0.9505735412977788,30
andere,2025-12-18,0.9471914355210957,30
andere,2025-12-18,0.9612783073083273,30
andere,2025-12-18,0.9609324815248722,30
andere,2025-12-18,0.9608017706278681,30
andere,2025-12-18,0.9606218242641344,30
andere,2025-12-18,0.9612468911408996,30
andere,2025-12-18,0.9594903282839393,30
andere,2025-12-18,0.9593746823530278,30
andere,2025-12-18,0.9593734260221611,30
andere,2025-12-18,0.9597130438556963,30
andere,2025-12-18,0.96021062107201,30
andere,2025-12-18,0.9598093145766116,30
andere,2025-12-18,0.9676053335727239,30
andere,2025-12-22,0.9673852874479375,30
andere,2025-12-22,0.9670317687943637,30
andere,2025-12-22,0.9672353745165724,30
andere,2025-12-22,0.9715939090356814,30
andere,2025-12-22,0.9696082410025153,30
andere,2025-12-22,0.9699324741010789,30
andere,2025-12-22,0.9700903955952028,30
andere,2025-12-22,0.970411871782605,30
andere,2025-12-22,0.9697389351762397,30
andere,2025-12-23,0.9659961597593206,30
andere,2025-12-23,0.9659249792259381,30
andere,2025-12-23,0.9677469323160666,30
andere,2025-12-23,0.9675937324803701,30
andere,2025-12-23,0.9678223140100881,30
andere,2025-12-23,0.9652305447969396,30
andere,2025-12-23,0.965414812931598,30
andere,2025-12-23,0.9571716384194487,30
andere,2025-12-23,0.9610219774075393,30
andere,2025-12-23,0.9614462918218044,30
andere,2025-12-23,0.9616375263214436,30
andere,2025-12-23,0.9579823932967975,30
andere,2025-12-23,0.9577194932081411,30
andere,2025-12-23,0.9570634557035814,30
andere,2026-01-05,0.9563286007948516,30
andere,2026-01-05,0.9566970980427707,30
andere,2026-01-05,0.9568850008583611,30
andere,2026-01-05,0.9566011643358185,30
andere,2026-01-05,0.9566011643358187,30
andere,2026-01-05,0.9572942663429308,30
andere,2026-01-05,0.9578913701866182,30
andere,2026-01-05,0.952007861788173,30
andere,2026-01-05,0.9517645512359213,30
andere,2026-01-05,0.9522430705765352,30
andere,2026-01-05,0.9523832979808717,30
andere,2026-01-05,0.953630627926607,30
andere,2026-01-05,0.9523394228737967,30
andere,2026-01-05,0.9520144464393342,30
andere,2026-01-05,0.9521080502978232,30
andere,2026-01-05,0.9524265976785563,30
andere,2026-01-05,0.9550379562882967,30
andere,2026-01-05,0.9554474536062857,30
andere,2026-01-05,0.9548796727718908,30
andere,2026-01-05,0.9547445747531665,30
andere,2026-01-05,0.954969021948298,30
andere,2026-01-05,0.9565734189136087,30
andere,2026-01-05,0.957951450913898,30
andere,2026-01-05,0.966817139331437,30
andere,2026-01-05,0.967240632108113,30
andere,2026-01-05,0.9672459219877668,30
andere,2026-01-06,0.9667967574107502,30
andere,2026-01-06,0.9683950435993817,30
andere,2026-01-06,0.9693730361616064,30
andere,2026-01-06,0.9698330936942311,30
andere,2026-01-06,0.9716449129642669,30
andere,2026-01-06,0.9715109802354065,30
andere,2026-01-06,0.9713749480343147,30
andere,2026-01-06,0.9702245382537991,30
andere,2026-01-06,0.9701515883466004,30
andere,2026-01-06,0.9696059611024094,30
andere,2026-01-06,0.9694732581436585,30
andere,2026-01-06,0.9738868013027273,30
andere,2026-01-06,0.9740642118205349,30
andere,2026-01-06,0.9740335246900342,30
andere,2026-01-06,0.9735907065938955,30
andere,2026-01-06,0.9746633433051575,30
andere,2026-01-06,0.9761266710434704,30
andere,2026-01-06,0.9762532260598263,30
andere,2026-01-06,0.9769813679439627,30
andere,2026-01-06,0.9117544576239367,30
andere,2026-01-06,0.9126062308278587,30
andere,2026-01-06,0.9114292269911317,30
andere,2026-01-06,0.907966787773394,30
andere,2026-01-06,0.9080829216466985,30
andere,2026-01-06,0.9080829216466983,30
andere,2026-01-06,0.8520708595972528,30
andere,2026-01-06,0.8520340832251286,30
andere,2026-01-07,0.8517432877436183,30
andere,2026-01-07,0.8517860799428523,30
andere,2026-01-07,0.849040864898227,30
andere,2026-01-07,0.8456680804302463,30
andere,2026-01-07,0.8471937051177357,30
andere,2026-01-07,0.8465321301905233,30
andere,2026-01-07,0.8444262108506919,30
andere,2026-01-07,0.8443009944574208,30
andere,2026-01-07,0.844687826812592,30
andere,2026-01-07,0.8447846554305978,30
andere,2026-01-07,0.8454712846539848,30
andere,2026-01-07,0.8455720136601772,30
andere,2026-01-07,0.845574518035074,30
andere,2026-01-07,0.8461439079003676,30
andere,2026-01-07,0.8475498539191587,30
andere,2026-01-07,0.8475127642677907,30
andere,2026-01-07,0.8453111737351272,30
andere,2026-01-07,0.8456144177781549,30
andere,2026-01-07,0.8450670057965902,30
andere,2026-01-07,0.7884173588790353,30
andere,2026-01-07,0.7884317462182612,30
andere,2026-01-07,0.7880539021063474,30
andere,2026-01-07,0.8531717321138188,30
andere,2026-01-07,0.8508929357251254,30
andere,2026-01-07,0.8517864125422902,30
andere,2026-01-07,0.8482960542080953,30
andere,2026-01-07,0.8472946518273091,30
andere,2026-01-07,0.8470292912664217,30
andere,2026-01-07,0.9014422200055796,30
andere,2026-01-07,0.9024613366627928,30
andere,2026-01-07,0.9022289612931352,30
andere,2026-01-07,0.9025222072201416,30
andere,2026-01-07,0.9043683660145513,30
andere,2026-01-07,0.9045889762974961,30
andere,2026-01-07,0.9048113999346266,30
andere,2026-01-07,0.9056844495369011,30
andere,2026-01-07,0.9079101280830912,30
andere,2026-01-07,0.9083505013599383,30
andere,2026-01-07,0.9082823711294978,30
andere,2026-01-07,0.9081517037893598,30
andere,2026-01-07,0.9074599973645168,30
andere,2026-01-07,0.8998677913718041,30
andere,2026-01-07,0.9000588667100604,30
andere,2026-01-07,0.9000446945750493,30
andere,2026-01-07,0.8999072645973791,30
andere,2026-01-07,0.9002397726272966,30
andere,2026-01-07,0.9000144337198901,30
andere,2026-01-07,0.8992608444608458,30
andere,2026-01-07,0.8993275167627655,30
andere,2026-01-07,0.9569883371981353,30
andere,2026-01-08,0.9560966058123588,30
