gruppe,datum,lehrkraft_id,id,mtr_rueckkopplung_datenmaske_values_id,token_anzahl,funktionsklassen_anzahl_gesamt,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,kognition,sozial,affektiv,motivation,methodik,performanz,regulation
LK_1,2025-11-26,1,1425,1992,8,7,regulation,1.6503717987936,1,3.3964613846515,1.5026401652642,0.397,0.59067137448555,1.2022688378365,1.3744646909752,1.6471764262225,1.6503717987936
LK_1,2025-11-26,1,1615,2185,6,6,motivation,1.2947630543375,1,2.3968774252851,0.96594885738276,0.58378792642131,1.0191194083261,1.2947630543375,0.66258049149992,0.98691099556958,0.58577632039074
LK_1,2025-11-26,1,1616,2186,9,5,kognition,2.2065262410316,1,3.9027212950711,2.2065262410316,0.30051506820394,1.1795308876966,1.2467162179745,1.6755727127168,1.6994290791481,1.2770938080566
LK_1,2025-11-26,1,1733,2304,10,5,motivation,1.376852504409,1,2.4862506965683,0.62692950024605,0.795,0.74859199099376,1.376852504409,0.45507923752819,1.2707328728139,0.93723262509945
LK_1,2025-11-26,1,1735,2306,8,7,regulation,1.5979360523896,1,3.1508700050481,1.4372312664863,0.397,0.50448499169109,1.0874930015752,1.3199415915475,1.4042604841715,1.5979360523896
LK_1,2025-11-26,1,1736,2307,9,6,motivation,1.5085116728229,1,3.3000264411834,1.3191717126155,1.0084738850279,1.0929401373529,1.5085116728229,1.1117005326131,1.3434654813876,1.2735924558465
LK_1,2025-11-26,1,1941,2514,6,6,performanz,1.5050743776411,1,3.084891476574,1.4500639452431,0.20031726631934,0.72454824024887,1.3021815084288,1.0808265444839,1.5050743776411,1.3113585455263
LK_1,2025-11-26,1,2273,2850,10,7,performanz,2.0351302970378,1,4.1967909784104,1.8960709613111,0.70774699502078,1.0720178087608,1.7362576411326,1.5786571324032,2.0351302970378,1.6490412884093
LK_1,2025-11-26,1,2275,2852,8,6,kognition,2.1824077376028,1,4.3850337175204,2.1824077376028,0.72133904050026,0.31839975553264,1.7387211397127,2.0449010422766,1.8961662783706,1.7446176444573
LK_1,2025-11-26,1,2276,2853,9,7,regulation,2.1994305780545,1,4.3304123418736,1.6822231162403,0.62502266234334,0.711660427994,1.9350745664867,1.7804935718807,1.8092309801594,2.1994305780545
LK_1,2025-11-26,1,2817,3578,8,3,kognition,2.1046227351488,1,3.4246644235568,2.1046227351488,1.0,0.52154960746563,1.0,1.7098425479452,1.2050166077111,0.807
